Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
Pumpkin Pie slice,,130,265,5,12,11,8.0,34.0,"Desserts, sweets"
Puddings Sugar,cup,200,770,0,0,0,0.0,199.0,"Desserts, sweets"
teaspoons sugar T.,,12,50,0,0,0,0.0,12.0,"Desserts, sweets"
"Brown, firm-packed, dark sugar t",cup,1,220,815,0,0,0.0,210.0,"Jams, Jellies"
Syrup T.,,40,100,0,0,0,0.0,25.0,"Jams, Jellies"
table blends sugar T.,,40,110,0,0,0,0.0,29.0,"Jams, Jellies"
Tapioca cream pudding,cup,250,335,10,10,9,0.0,42.0,"Desserts, sweets"
Almonds / Seeds,cup,70,425,13,38,28,1.8,13.0,and Nuts
roasted and salted / Seeds,cup,70,439,13,40,31,1.8,13.0,and Nuts
Brazil nuts / Seeds,cup,70,457,10,47,31,2.0,7.0,and Nuts
Cashews / Seeds,cup,70,392,12,32,28,0.9,20.0,and Nuts
coconut sweetened / Seeds,cup,50,274,1,20,19,2.0,26.0,and Nuts
Peanut butter / Seeds,cup,50,300,12,25,17,0.9,9.0,and Nuts
"Peanut butter, natural / Seeds",cup,50,284,13,24,10,0.9,8.0,and Nuts
Peanuts / Seeds,cup,50,290,13,25,16,1.2,9.0,and Nuts
Pecans / Seeds,cup,52,343,5,35,25,1.1,7.0,and Nuts
Sesame seeds / Seeds,cup,50,280,9,24,13,3.1,10.0,and Nuts
Sunflower seeds / Seeds,cup,50,280,12,26,7,1.9,10.0,and Nuts
Walnuts / Seeds,cup,50,325,7,32,7,1.0,8.0,and Nuts
Beer t,cups,2,480,228,0,0,0.0,8.0,"Drinks,Alcohol, Beverages"
Gin t,oz.,1,28,70,0,0,0.0,0.0,"Drinks,Alcohol, Beverages"
Wines / t,cup,2,120,164,0,0,0.0,9.0,"Drinks,Alcohol, Beverages"
Table (% alcohol) / t,cup,2,120,100,0,0,0.0,5.0,"Drinks,Alcohol, Beverages"
Carbonated drinks Artificially sweetened,oz.,346,0,0,0,0,0.0,0.0,"Drinks,Alcohol, Beverages"
Club soda,oz.,346,0,0,0,0,0.0,0.0,"Drinks,Alcohol, Beverages"
Cola drinks,oz.,346,137,0,0,0,0.0,38.0,"Drinks,Alcohol, Beverages"
Fruit-flavored soda,oz.,346,161,0,0,0,0.0,42.0,"Drinks,Alcohol, Beverages"
Ginger ale,oz.,346,105,0,0,0,0.0,28.0,"Drinks,Alcohol, Beverages"
Root beer,oz.,346,140,0,0,0,0.0,35.0,"Drinks,Alcohol, Beverages"
Coffee t,cup,1,230,3,0,0,0.0,1.0,"Drinks,Alcohol, Beverages"
Tea t,cup,1,230,4,0,0,0.0,1.0,"Drinks,Alcohol, Beverages"
